state,declaration_date,incident_type
OK,2007-01-14,Severe Ice Storm
OK,2007-01-14,Severe Ice Storm
OK,2007-01-14,Severe Ice Storm
OK,2007-01-14,Severe Ice Storm
OK,2007-01-14,Severe Ice Storm
OK,2007-01-14,Severe Ice Storm
OK,2007-01-14,Severe Ice Storm
OK,2007-01-14,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
MO,2007-01-15,Severe Ice Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
OK,2007-02-01,Severe Storm
FL,2007-02-03,Severe Storm
FL,2007-02-03,Severe Storm
FL,2007-02-03,Severe Storm
FL,2007-02-03,Severe Storm
FL,2007-02-08,Severe Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
IL,2007-02-09,Severe Ice Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
WA,2007-02-14,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
OR,2007-02-22,Severe Storm
NY,2007-02-23,Snowstorm
NY,2007-02-23,Snowstorm
NY,2007-02-23,Snowstorm
LA,2007-02-23,Severe Storm
LA,2007-02-23,Severe Storm
LA,2007-02-23,Severe Storm
PA,2007-02-23,Severe Storm
PA,2007-02-23,Severe Storm
PA,2007-02-23,Severe Storm
PA,2007-02-23,Severe Storm
PA,2007-02-23,Severe Storm
PA,2007-02-23,Severe Storm
PA,2007-02-23,Severe Storm
PA,2007-02-23,Severe Storm
NM,2007-02-24,Fire
AL,2007-03-03,Severe Storm
AL,2007-03-03,Severe Storm
AL,2007-03-03,Severe Storm
AL,2007-03-03,Severe Storm
AL,2007-03-03,Severe Storm
AL,2007-03-03,Severe Storm
AL,2007-03-03,Severe Storm
AL,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
GA,2007-03-03,Severe Storm
CA,2007-03-11,Fire
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
IN,2007-03-12,Snowstorm
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
CA,2007-03-13,Freezing
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
IA,2007-03-14,Severe Storm
FL,2007-03-26,Fire
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
IA,2007-03-30,Snowstorm
NM,2007-04-02,Severe Storm
NM,2007-04-02,Severe Storm
GA,2007-04-17,Fire
GA,2007-04-17,Fire
ME,2007-04-20,Flood
ME,2007-04-20,Flood
ME,2007-04-20,Flood
ME,2007-04-20,Flood
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
NY,2007-04-24,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
ME,2007-04-25,Severe Storm
GA,2007-04-26,Fire
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NJ,2007-04-26,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
NH,2007-04-27,Severe Storm
TX,2007-05-01,Severe Storm
TX,2007-05-01,Severe Storm
TX,2007-05-01,Severe Storm
TX,2007-05-01,Severe Storm
TX,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
WV,2007-05-01,Severe Storm
FL,2007-05-02,Fire
FL,2007-05-02,Fire
FL,2007-05-02,Fire
FL,2007-05-02,Fire
VT,2007-05-04,Severe Storm
VT,2007-05-04,Severe Storm
VT,2007-05-04,Severe Storm
VT,2007-05-04,Severe Storm
VT,2007-05-04,Severe Storm
VT,2007-05-04,Severe Storm
VT,2007-05-04,Severe Storm
VT,2007-05-04,Severe Storm
GA,2007-05-05,Fire
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
KS,2007-05-06,Severe Storm
FL,2007-05-07,Fire
FL,2007-05-07,Fire
FL,2007-05-07,Fire
FL,2007-05-07,Fire
FL,2007-05-07,Fire
FL,2007-05-07,Fire
FL,2007-05-07,Fire
FL,2007-05-07,Fire
FL,2007-05-08,Fire
GA,2007-05-09,Fire
FL,2007-05-09,Fire
FL,2007-05-09,Fire
FL,2007-05-09,Fire
CA,2007-05-09,Fire
CA,2007-05-10,Fire
CT,2007-05-11,Severe Storm
CT,2007-05-11,Severe Storm
CT,2007-05-11,Severe Storm
CT,2007-05-11,Severe Storm
CT,2007-05-11,Severe Storm
CT,2007-05-11,Severe Storm
CT,2007-05-11,Severe Storm
NJ,2007-05-16,Fire
NJ,2007-05-16,Fire
MA,2007-05-16,Severe Storm
MA,2007-05-16,Severe Storm
MA,2007-05-16,Severe Storm
MA,2007-05-16,Severe Storm
MA,2007-05-16,Severe Storm
MA,2007-05-16,Severe Storm
MA,2007-05-16,Severe Storm
MA,2007-05-16,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
SD,2007-05-22,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
IA,2007-05-25,Severe Storm
RI,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
KY,2007-05-25,Severe Storm
GA,2007-05-31,Fire
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
NE,2007-06-06,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
OK,2007-06-07,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
MO,2007-06-11,Severe Storm
CO,2007-06-19,Fire
AK,2007-06-22,Fire
CA,2007-06-24,Fire
FL,2007-06-27,Fire
FL,2007-06-27,Fire
FL,2007-06-27,Fire
FL,2007-06-27,Fire
FL,2007-06-27,Fire
FL,2007-06-27,Fire
HI,2007-06-28,Fire
CA,2007-06-29,Fire
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
TX,2007-06-29,Severe Storm
UT,2007-06-30,Fire
UT,2007-06-30,Fire
UT,2007-06-30,Fire
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
KS,2007-07-02,Severe Storm
NY,2007-07-02,Severe Storm
NY,2007-07-02,Severe Storm
NY,2007-07-02,Severe Storm
NV,2007-07-06,Fire
NV,2007-07-06,Fire
UT,2007-07-07,Fire
CA,2007-07-07,Fire
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
OK,2007-07-07,Severe Storm
WA,2007-07-08,Fire
